Žodis                   Pasikartojimų sk.       Eilutės numeris
viso                     3                        40 51 132 
visoj                    2                        82 180 
visus                    2                        36 79 
visą                    3                        15 128 166 
visų                    3                        54 141 153 
vos                      2                        40 148 
vėl                     2                        21 23 
ypač                    4                        43 55 80 157 
čia                     5                        98 127 146 165 184 
Į                       4                        18 20 52 89 
į                       35                       13 24 28 34 34 34 37 41 46 47 55 59 70 73 76 78 85 88 100 115 118 119 126 129 130 144 152 155 155 159 161 166 167 180 180 
įkarštis               2                        181 182 
įspūdžio              2                        50 129 
Šita                    2                        9 50 
Šitos                   2                        96 181 
Štai                    2                        106 110 
šaukdavo                5                        18 27 28 34 41 
šitoj                   2                        61 62 
šitą                   2                        112 132 
štai                    5                        8 83 111 132 133 
šv                      4                        55 56 121 122 
šventieji               3                        56 58 64 
šventimus               2                        39 162 
šventų                 2                        11 61 
šį                     2                        95 96 
žinojo                  3                        47 96 110 
žinoma                  2                        75 159 
žiūrėk                2                        145 149 
žvakių                 3                        48 57 123 
